,price
1687041134604,26530.00
1687041134624,26530.00
1687041134632,26530.00
1687041134634,26530.00
1687041134639,26530.00
1687041134641,26530.00
1687041134674,26530.00
1687041134684,26530.00
1687041134724,26530.00
1687041134760,26530.00
1687041134777,26530.00
1687041134783,26530.00
1687041134834,26530.00
1687041134862,26530.00
1687041134870,26530.00
1687041134871,26530.00
1687041134904,26530.00
1687041134924,26530.00
1687041134988,26530.00
1687041134992,26530.00
1687041135097,26530.00
1687041135135,26530.00
1687041135167,26530.00
1687041135205,26530.00
