,price
1687041134587,1729.74
1687041134591,1729.74
1687041134654,1729.74
1687041134661,1729.74
1687041134837,1729.74
1687041134845,1729.74
1687041134858,1729.74
1687041134878,1729.74
1687041134883,1729.74
1687041134884,1729.74
1687041134886,1729.74
1687041134906,1729.74
1687041134915,1729.74
1687041134916,1729.74
1687041134917,1729.74
1687041134918,1729.74
1687041134919,1729.74
1687041135044,1729.74
1687041135056,1729.74
1687041135085,1729.74
1687041135091,1729.74
1687041135099,1729.74
1687041135128,1729.74
1687041135254,1729.74
